OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,34.3116,0.1327,1809.4753,42.5379,0.1645,0.8308
B-1,52.4417,0.2306,4302.749,65.5953,0.2884,0.7732
B-2,70.0372,0.3245,7397.8319,86.0107,0.3983,0.6504
B-4,33.6944,0.1476,1778.2704,42.1695,0.1848,0.8777
B-5,61.1061,0.2796,5694.5847,75.4625,0.3452,0.6725
B-7,92.6962,0.4074,13180.9057,114.8081,0.5048,0.1087
B-8,92.0838,0.4349,12915.7226,113.6474,0.5371,0.2419
C-1,165.0907,0.9166,37372.4635,193.3196,1.0728,0.5803
C-2,182.2909,1.0088,46862.1726,216.4767,1.1983,0.6296
C-3,150.325,0.8062,32765.4986,181.0124,0.9722,0.7453
C-4,158.8011,0.8523,35456.5526,188.2991,1.0115,0.679
C-5,165.4765,0.8352,39927.1123,199.8177,1.0073,0.5489
C-6,131.3141,0.6852,27273.575,165.1471,0.8621,0.6821
C-7,109.7569,0.5891,18211.6445,134.9505,0.7239,0.8326
C-8,146.1309,0.7745,29810.8712,172.6582,0.9151,0.7827
C-9,222.6651,1.2021,70160.5876,264.8784,1.4316,0.4244
C-10,156.9085,0.8072,35373.6655,188.0789,0.969,0.6306
C-11,157.9311,0.8561,34535.6411,185.8377,1.0075,0.5848
C-12,180.6717,1.0176,46291.8854,215.1555,1.212,0.5392
C-13,153.0159,0.8509,32819.3925,181.1612,1.008,0.6984
C-14,46.0855,0.2567,3193.6595,56.5125,0.3139,0.9689
C-15,64.546,0.3441,6575.3928,81.0888,0.4315,0.9109
